law_name,length,obligation,constraint,permission,entitlement,agency_obligation,agency_constraint,agency_permission,agency_entitlement,entity_obligation,entity_constraint,entity_permission,entity_entitlement,year
PL090_284,8210,23,41,41,47,0,2,0,3,35,81,70,85,1968
PL089_695,18213,41,38,52,179,10,8,18,56,68,68,49,300,1966
PL090_321,11410,36,32,59,63,11,4,10,7,40,71,48,84,1968
PL093_234,4833,12,20,15,23,1,0,0,1,18,48,27,45,1973
PL102_550_4044,13236,49,36,28,82,6,6,5,18,81,98,49,139,1992
CHPT_106,14501,22,43,38,131,1,0,0,1,64,108,94,296,1864
PL103_204,20507,86,54,24,110,8,2,1,9,123,151,54,250,1993
PL084_511,7545,10,35,14,31,8,6,7,10,9,116,40,78,1956
PL108_100,7851,18,17,25,55,2,1,2,1,29,75,43,116,2003
PL093_495_1511,8580,9,30,15,45,1,2,0,4,17,104,30,80,1974
PL094_239,2624,7,14,10,16,2,4,1,2,5,37,7,24,1976
PL073_066,20706,45,69,54,166,6,8,17,23,57,187,71,313,1933
PL098_181_1278,3228,21,10,14,21,13,1,5,7,15,14,10,19,1983
PL103_328,19287,70,70,53,127,13,14,5,19,90,182,99,169,1994
PL107_056,20659,48,43,57,90,3,1,4,5,86,97,141,235,2001
PL104_208,44519,99,112,87,216,31,36,23,51,140,273,118,403,1996
PL095_630_3697,6979,32,28,32,53,4,2,4,3,33,74,63,96,1978
PL108_159,26198,117,69,49,159,42,23,17,53,170,185,104,322,2003
PL116_283,35366,134,53,66,181,3,8,4,8,224,152,146,448,2021
PL069_639,2606,3,12,6,12,1,0,1,0,6,38,7,18,1927
PL081_797,14455,45,41,38,135,9,9,13,26,57,86,68,230,1950
PL094_200,2436,8,2,10,14,3,0,2,3,8,1,8,21,1975
PL095_369,11026,19,23,37,76,2,7,8,10,31,58,59,154,1978
PL106_102,62472,168,175,131,327,43,52,39,75,225,503,220,561,1999
PL103_325,59766,220,170,144,362,37,25,25,45,295,354,189,691,1994
PL111_022,30537,88,72,121,145,9,4,9,10,120,215,124,361,2009
PL115_174,61184,180,174,194,328,22,56,26,70,264,418,206,704,2018
PL063_043,15894,66,46,55,166,11,6,6,19,89,81,62,206,1913
PL097_320,39082,68,125,149,239,13,18,32,41,84,328,223,418,1982
PL109_351,18676,45,25,42,76,6,2,10,15,58,67,82,105,2006
PL095_109,4915,3,16,9,22,0,2,2,2,7,41,8,36,1977
PL105_310,3480,12,2,13,20,0,0,0,4,19,2,20,41,1998
PL102_242_2334,4317,22,15,14,28,7,1,4,2,21,40,14,40,1991
PL099_570_3207,9750,38,20,28,56,10,0,0,17,47,25,36,123,1986
PL091_508_1114,11306,48,23,36,78,8,5,4,10,81,54,56,159,1970
PL074_305,25427,62,75,63,209,12,7,10,37,70,167,93,335,1935
PL096_221,32162,82,98,97,162,28,32,26,49,111,236,122,326,1980
PL100_086,50907,137,157,149,283,30,31,34,57,201,429,257,526,1987
PL094_240,2264,3,4,4,13,0,2,0,2,6,14,2,31,1976
PL107_204,29510,96,65,60,166,38,24,37,68,137,118,73,304,2002
PL101_073,166500,536,519,498,1109,84,46,61,137,745,1177,791,1826,1989
PL102_550_3672,188607,664,552,467,1041,29,26,37,59,1020,1139,603,1860,1992
PL110_289,112029,390,309,255,614,25,20,22,49,625,746,412,1192,2008
PL091_508_1127,33010,101,72,110,252,8,4,2,15,191,220,167,539,1969
PL111_203,366081,1347,880,832,2024,337,201,260,489,2087,2053,1382,3889,2010
PL110_343,72874,288,172,131,430,9,4,9,11,381,339,158,591,2008
PL102_242_2236,67672,266,212,187,417,50,35,42,80,368,487,273,783,1991
PL101_647,80590,217,226,224,473,17,16,27,27,322,468,355,871,1990
PL109_171,4773,30,11,14,37,9,1,9,14,50,22,21,66,2006
PL109_173,6938,28,7,9,27,4,1,1,2,27,16,18,38,2006
